rank,id,title,rating,rating_count,comprehensive_score,kind,url,source_doulist_ids,source_doulists,crawled_at
100,4321270,猫和老鼠 Tom and Jerry,9.8,210012,89.460916,动画剧集,https://movie.douban.com/subject/4321270/,225067,豆瓣五星动画剧集,2026-08-09T16:52:13+08:00
101,26580232,看不见的客人 Contratiempo,8.8,1454916,89.39989,电影,https://movie.douban.com/subject/26580232/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
102,3286528,老友记 第二季 Friends Season 2,9.8,207037,89.356765,电视剧,https://movie.douban.com/subject/3286528/,46375658 / 644440,9分电视剧 / 豆瓣电视剧排行榜,2026-08-09T16:52:13+08:00
103,2334904,禁闭岛 Shutter Island,8.9,1126645,89.18243,电影,https://movie.douban.com/subject/2334904/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
104,1292849,拯救大兵瑞恩 Saving Private Ryan,9.1,733454,89.136433,电影,https://movie.douban.com/subject/1292849/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
105,1291544,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,9.0,902177,89.131679,电影,https://movie.douban.com/subject/1291544/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
106,1292402,西西里的美丽传说 Malèna,8.9,1102170,89.041866,电影,https://movie.douban.com/subject/1292402/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
107,11525673,布达佩斯大饭店 The Grand Budapest Hotel,8.9,1096746,89.010292,电影,https://movie.douban.com/subject/11525673/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
108,1292343,蝴蝶效应 The Butterfly Effect,8.9,1080157,88.912749,电影,https://movie.douban.com/subject/1292343/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
109,10491666,胜者即是正义 リーガル・ハイ,9.4,391795,88.861609,日剧 / 电视剧,https://movie.douban.com/subject/10491666/,156283469 / 430230 / 46375658 / 644440,9分电视剧 / 豆瓣五星电视剧（2/2） / 豆瓣电视剧排行榜 / 豆瓣高分日剧,2026-08-09T16:52:13+08:00
